REFERENCE 1;ARTICLE;CODE;DESIGNATION_2;CODE_SELECTION;QTE;DERNIER_PRIX_ACHAT;PRIX_REVIENT;Gros;PRIX_SOLDE;PRIX_MIN;REFERENCE 2;REFERENCE 3;REFERENCE 4;POIDS;CBM;CONDITIONNEMENT;QTE_STOCK_ALERTE;FOURNISSEUR;DATE_DERNIER_ACHAT;DATE_DERNIERE_VENTE;OK_BLOQUE_VENTE;NBRE_PHOTOS;Date créat. Article;Utilisateur;N°ARTICLE;N°LOT;
;COUDEPVC;00001236;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;13/04/2026;13/04/2026;N;0;11/08/2026 10:28:34;ADMIN          ;1254;1254;
;COUDEPVC 40/45;00001237;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;13/04/2026;13/04/2026;N;0;11/08/2026 10:31:15;ADMIN          ;1255;1255;
;MONCHON 40PPR;00001238;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;13/04/2026;13/04/2026;N;0;11/08/2026 10:34:40;ADMIN          ;1256;1256;
;MONCHON 32;00001239;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;13/04/2026;13/04/2026;N;0;11/08/2026 10:35:29;ADMIN          ;1257;1257;
;TOUBE PVC110;00001240;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;13/04/2026;13/04/2026;N;0;11/08/2026 10:36:44;ADMIN          ;1258;1258;
;TOUBE PPR32;00001241;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;13/04/2026;13/04/2026;N;0;11/08/2026 10:39:37;ADMIN          ;1259;1259;
;TOUBE 25;00001242;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;13/04/2026;13/04/2026;N;0;11/08/2026 10:40:34;ADMIN          ;1260;1260;
;TOUB PPR32;00001243;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;13/04/2026;;N;0;11/08/2026 10:53:12;ADMIN          ;1261;1261;
;TOUB PPR40;00001244;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;13/04/2026;;N;0;11/08/2026 10:54:15;ADMIN          ;1262;1262;
;T110 PVC;00001245;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;13/04/2026;13/04/2026;N;0;11/08/2026 10:55:22;ADMIN          ;1263;1263;
;COUDE 110/90PVC;00001246;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;13/04/2026;13/04/2026;N;0;11/08/2026 10:56:04;ADMIN          ;1264;1264;
;COUDE110/45;00001247;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;13/04/2026;13/04/2026;N;0;11/08/2026 10:56:44;ADMIN          ;1265;1265;
;Y80 / 50PVC;00001248;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;13/04/2026;13/04/2026;N;0;11/08/2026 10:57:41;ADMIN          ;1266;1266;
;Y50 PVC;00001249;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;13/04/2026;13/04/2026;N;0;11/08/2026 10:58:12;ADMIN          ;1267;1267;
;COUDE 40/90 PVC;00001250;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;13/04/2026;13/04/2026;N;0;11/08/2026 10:59:35;ADMIN          ;1268;1268;
;COUDE 50/45;00001251;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;13/04/2026;;N;0;11/08/2026 11:00:35;ADMIN          ;1269;1269;
;TPPR40;00001252;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;13/04/2026;13/04/2026;N;0;11/08/2026 11:03:03;ADMIN          ;1270;1270;
;ARMOIRRE 40CM;00001253;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;12/08/2026;12/08/2026;N;0;11/08/2026 11:04:46;ADMIN          ;1271;1271;
;APLIQUES 16;00001254;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;13/04/2026;13/04/2026;N;0;11/08/2026 11:06:08;ADMIN          ;1272;1272;
;VAN 20;00001255;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;13/04/2026;13/04/2026;N;0;11/08/2026 11:07:40;ADMIN          ;1273;1273;
;DDS LAND GREY TIMGAD CERAM 60/60 2CH 190.08;00001256;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;12/08/2026;12/08/2026;N;0;11/08/2026 11:35:04;ADMIN          ;1274;1274;
;DDS 1.60/0.80 1CH LIMPORTATION;00001257;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;12/08/2026;12/08/2026;N;0;11/08/2026 11:36:53;ADMIN          ;1275;1275;
;DDS PLATINUM ROYAL CERAM 1.20/06;00001258;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;12/08/2026;12/08/2026;N;0;11/08/2026 11:39:03;ADMIN          ;1276;1276;
HM;POUDRE GRIS FONCE HM;00001259;;          ;0;892.5;892.5;1500;1547;1300;;;;0.1;0.01;1;0;;18/04/2026;18/04/2026;N;0;11/08/2026 15:57:02;ADMIN          ;1277;1277;
;.;00001260;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;;;N;0;11/08/2026 15:58:13;ADMIN          ;1278;1278;
4CM/80;PVC 4CM / 80;00001261;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;11/08/2026;12/08/2026;N;0;11/08/2026 16:12:20;ADMIN          ;1279;1279;
;BOUCHOUNE 21/157;00001262;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;18/04/2026;;N;0;11/08/2026 16:22:26;ADMIN          ;1280;1280;
;KROUCHI FAIANCE;00001263;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;15/08/2026;15/08/2026;N;0;11/08/2026 16:41:24;ADMIN          ;1281;1281;
;VENIXIA;00001264;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;;;N;0;11/08/2026 16:53:19;ADMIN          ;1282;1282;
;PANT VENIXIA;00001265;;          ;76;0;0;0;0;0;;;;0.1;0.01;1;0;;10/08/2026;;N;0;11/08/2026 16:54:20;ADMIN          ;1283;1283;
;PIGMA COLOR;00001266;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;10/08/2026;11/08/2026;N;0;11/08/2026 16:55:09;ADMIN          ;1284;1284;
;VINYROC;00001267;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;10/08/2026;11/08/2026;N;0;11/08/2026 16:56:23;ADMIN          ;1285;1285;
;LONDOY;00001268;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;10/08/2026;11/08/2026;N;0;11/08/2026 16:57:24;ADMIN          ;1286;1286;
;CADRE SIMPLE 80PCS;00001269;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;10/08/2026;11/08/2026;N;0;11/08/2026 16:59:07;ADMIN          ;1287;1287;
;SIMPLE INTERRRUPTER;00001270;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;10/08/2026;11/08/2026;N;0;11/08/2026 17:00:44;ADMIN          ;1288;1288;
;PRISE AVEC TERRE;00001271;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;10/08/2026;11/08/2026;N;0;11/08/2026 17:01:27;ADMIN          ;1289;1289;
;TIRFON;00001272;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;17/08/2026;17/08/2026;N;0;11/08/2026 17:05:18;ADMIN          ;1290;1290;
;DDS MARISA DARK 51.84;00001273;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;12/08/2026;12/08/2026;N;0;11/08/2026 17:07:18;ADMIN          ;1291;1291;
;ROLLO CABLE 100M;00001274;;          ;0;0;0;0;0;0;;;;0.1;0.01;;0;;11/08/2026;12/08/2026;N;0;11/08/2026 17:08:57;ADMIN          ;1292;1292;
;ROLLO CABLE 1*2.5;00001275;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;11/08/2026;12/08/2026;N;0;11/08/2026 17:09:55;ADMIN          ;1293;1293;
;LAGINE ROSOL;00001276;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;10/08/2026;11/08/2026;N;0;11/08/2026 17:11:13;ADMIN          ;1294;1294;
;LAGEN MOYANE;00001277;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;10/08/2026;11/08/2026;N;0;11/08/2026 17:13:29;ADMIN          ;1295;1295;
;LAGEN ROSOL B;00001278;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;10/08/2026;11/08/2026;N;0;11/08/2026 17:15:49;ADMIN          ;1296;1296;
;CROCHI  FAOINS;00001279;;          ;10;0;0;0;0;0;;;;0.1;0.01;1;0;;10/08/2026;;N;0;11/08/2026 17:17:33;ADMIN          ;1297;1297;
;CHOVRONE;00001280;;          ;16;0;0;0;0;0;;;;0.1;0.01;1;0;;12/08/2026;12/08/2026;N;0;11/08/2026 17:18:58;ADMIN          ;1298;1298;
;PRISE;00001281;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;10/08/2026;11/08/2026;N;0;11/08/2026 17:19:39;ADMIN          ;1299;1299;
;COUVARE TABLONE;00001282;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;10/08/2026;11/08/2026;N;0;11/08/2026 17:20:38;ADMIN          ;1300;1300;
;COUVARE DIJINKTOUR;00001283;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;10/08/2026;11/08/2026;N;0;11/08/2026 17:21:28;ADMIN          ;1301;1301;
3333;DDS 72.30M MODEL 3333;00001284;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;11/08/2026;12/08/2026;N;0;11/08/2026 17:23:45;ADMIN          ;1302;1302;
;PODRE PERLA;00001285;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;11/08/2026;12/08/2026;N;0;11/08/2026 17:25:09;ADMIN          ;1303;1303;
;BAGITE;00001286;;          ;52;200;144.93;0;0;0;;;;0.1;0.01;1;0;;12/08/2026;12/08/2026;N;0;11/08/2026 17:27:53;ADMIN          ;1304;1304;
;LED DECORE;00001287;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;11/08/2026;12/08/2026;N;0;11/08/2026 19:04:09;ADMIN          ;1305;1305;
;FIKSATOUR;00001288;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;12/08/2026;12/08/2026;N;0;12/08/2026 08:22:42;ADMIN          ;1306;1306;
;VITYARE;00001289;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;12/08/2026;12/08/2026;N;0;12/08/2026 08:27:12;ADMIN          ;1307;1307;
;FAYONSE 1.20;00001290;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;12/08/2026;12/08/2026;N;0;12/08/2026 08:36:53;ADMIN          ;1308;1308;
;CASITE;00001291;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;11/08/2026;12/08/2026;N;0;12/08/2026 08:51:18;ADMIN          ;1309;1309;
;ROLO NHASE;00001292;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;11/08/2026;12/08/2026;N;0;12/08/2026 08:52:33;ADMIN          ;1310;1310;
;CIMENT NOIR;00001293;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;12/08/2026;13/08/2026;N;0;12/08/2026 09:02:31;ADMIN          ;1311;1311;
;GOUTAGOTE TYOU;00001294;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;11/08/2026;12/08/2026;N;0;12/08/2026 09:05:30;ADMIN          ;1312;1312;
;DOMI CODE 63;00001295;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;11/08/2026;12/08/2026;N;0;12/08/2026 09:06:53;ADMIN          ;1313;1313;
;PVS 32;00001296;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;11/08/2026;12/08/2026;N;0;12/08/2026 09:08:10;ADMIN          ;1314;1314;
;PVS110;00001297;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;11/08/2026;12/08/2026;N;0;12/08/2026 09:12:35;ADMIN          ;1315;1315;
;PVS125;00001298;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;11/08/2026;12/08/2026;N;0;12/08/2026 09:13:13;ADMIN          ;1316;1316;
;CODE 125PVS;00001299;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;11/08/2026;12/08/2026;N;0;12/08/2026 09:14:05;ADMIN          ;1317;1317;
;FFS PLATINUM;00001300;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;12/08/2026;12/08/2026;N;0;12/08/2026 11:03:44;ADMIN          ;1318;1318;
;FFS ATLAS CREMA;00001301;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;12/08/2026;12/08/2026;N;0;12/08/2026 11:05:00;ADMIN          ;1319;1319;
;DDS CANYON;00001302;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;12/08/2026;12/08/2026;N;0;12/08/2026 11:06:19;ADMIN          ;1320;1320;
;DDS  FIMIM GRIS;00001303;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;12/08/2026;12/08/2026;N;0;12/08/2026 11:07:26;ADMIN          ;1321;1321;
;ZITE KHASHEB;00001304;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;12/08/2026;12/08/2026;N;0;12/08/2026 11:08:16;ADMIN          ;1322;1322;
;VEGAS GRIS;00001305;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;12/08/2026;12/08/2026;N;0;12/08/2026 15:51:42;ADMIN          ;1323;1323;
;KROUCHI KERMOUD;00001306;;          ;8;0;0;0;0;0;;;;0.1;0.01;1;0;;12/08/2026;12/08/2026;N;0;12/08/2026 16:03:22;ADMIN          ;1324;1324;
;SORTIE;00001307;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;12/08/2026;12/08/2026;N;0;12/08/2026 16:09:51;ADMIN          ;1325;1325;
;ROUNDIL;00001308;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;17/08/2026;17/08/2026;N;0;12/08/2026 16:19:12;ADMIN          ;1326;1326;
;COUDE 160/90;00001309;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;12/08/2026;12/08/2026;N;0;12/08/2026 16:21:33;ADMIN          ;1327;1327;
;FAOUX PIERRE 1CH;00001310;;          ;12;0;0;0;0;0;;;;0.1;0.01;1;0;;12/08/2026;;N;0;12/08/2026 16:23:42;ADMIN          ;1328;1328;
;DDS LUX GREY 160/80;00001311;;          ;33.28;0;0;0;0;0;;;;0.1;0.01;;0;;12/08/2026;12/08/2026;N;0;12/08/2026 16:31:16;ADMIN          ;1329;1329;
;DDS ATLAS 120/60 TECHNO CERAM 1CH;00001312;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;13/08/2026;13/08/2026;N;0;12/08/2026 16:34:27;ADMIN          ;1330;1330;
;DDS MOTIFE 120/60 1CH TECHNO CERAM;00001313;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;12/08/2026;12/08/2026;N;0;12/08/2026 16:35:59;ADMIN          ;1331;1331;
;DDS 33/33 2CH;00001314;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;12/08/2026;12/08/2026;N;0;12/08/2026 16:38:01;ADMIN          ;1332;1332;
;DDS 33/33 1CH;00001315;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;12/08/2026;12/08/2026;N;0;12/08/2026 16:38:41;ADMIN          ;1333;1333;
;COUVRE JOINT DROITE;00001316;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;12/08/2026;12/08/2026;N;0;12/08/2026 16:43:23;ADMIN          ;1334;1334;
;COUVRE JOINT GOUCHE;00001317;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;12/08/2026;12/08/2026;N;0;12/08/2026 16:43:58;ADMIN          ;1335;1335;
;SOPT LED 24W SOLESTO;00001318;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;12/08/2026;12/08/2026;N;0;12/08/2026 16:57:21;ADMIN          ;1336;1336;
;BLONCH;00001319;;          ;6;0;0;0;0;0;;;;0.1;0.01;1;0;;12/08/2026;;N;0;12/08/2026 16:59:03;ADMIN          ;1337;1337;
;PRESTON LED 18W;00001320;;          ;6;0;0;0;0;0;;;;0.1;0.01;1;0;;12/08/2026;;N;0;12/08/2026 17:15:59;ADMIN          ;1338;1338;
;DDS NOOR GRAY 60/60 ROYAL CERAM 2CH;00001321;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;12/08/2026;12/08/2026;N;0;12/08/2026 17:23:05;ADMIN          ;1339;1339;
;APP0202 NOIR;00001322;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;;;N;0;13/08/2026 11:36:46;ADMIN          ;1340;1340;
;SOLESTO AP0302 NOIR;00001323;;          ;18;0;0;0;0;0;;;;0.1;0.01;1;0;;13/08/2026;;N;0;13/08/2026 11:38:31;ADMIN          ;1341;1341;
;SPOT QUBO 16W;00001324;;          ;56;0;0;0;0;0;;;;0.1;0.01;1;0;;13/08/2026;;N;0;13/08/2026 11:39:58;ADMIN          ;1342;1342;
;VECAS LED 20W;00001325;;          ;61;0;0;0;0;0;;;;0.1;0.01;1;0;;13/08/2026;;N;0;13/08/2026 11:43:18;ADMIN          ;1343;1343;
;SIPHON TT016 15/15;00001326;;          ;6;0;0;0;0;0;;;;0.1;0.01;1;0;;13/08/2026;;N;0;13/08/2026 11:44:35;ADMIN          ;1344;1344;
;BMA 1-53 70CL;00001327;;          ;4;0;0;0;0;0;;;;0.1;0.01;1;0;;13/08/2026;;N;0;13/08/2026 11:45:39;ADMIN          ;1345;1345;
;LED BEIN 182;00001328;;          ;3;0;0;0;0;0;;;;0.1;0.01;1;0;;13/08/2026;;N;0;13/08/2026 11:46:22;ADMIN          ;1346;1346;
;LED BEIN 180;00001329;;          ;4;0;0;0;0;0;;;;0.1;0.01;1;0;;13/08/2026;;N;0;13/08/2026 11:47:05;ADMIN          ;1347;1347;
;HUBLOT LED T 885;00001330;;          ;1;0;0;0;0;0;;;;0.1;0.01;1;0;;13/08/2026;;N;0;13/08/2026 11:48:45;ADMIN          ;1348;1348;
;HUBLOT LED 2514A;00001331;;          ;3;0;0;0;0;0;;;;0.1;0.01;1;0;;13/08/2026;;N;0;13/08/2026 11:49:19;ADMIN          ;1349;1349;
;LED 14081 ALIMINIUM;00001332;;          ;2;0;0;0;0;0;;;;0.1;0.01;1;0;;13/08/2026;;N;0;13/08/2026 11:50:51;ADMIN          ;1350;1350;
;BARELFIX;00001333;;          ;3.5;0;0;0;0;0;;;;0.1;0.01;1;0;;15/08/2026;;N;0;15/08/2026 17:07:37;ADMIN          ;1351;1351;
;FIXATEUR PROMA PRO;00001334;;          ;12;0;0;0;0;0;;;;0.1;0.01;1;0;;15/08/2026;15/08/2026;N;0;15/08/2026 17:09:29;ADMIN          ;1352;1352;
;FIXSATOR NULL;00001335;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;16/08/2026;16/08/2026;N;0;16/08/2026 16:49:29;ADMIN          ;1353;1353;
;PORT 2.15*1.10;00001336;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;16/08/2026;16/08/2026;N;0;16/08/2026 16:52:01;ADMIN          ;1354;1354;
;FAÏENCE 2CH;00001337;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;16/08/2026;16/08/2026;N;0;16/08/2026 17:03:12;ADMIN          ;1355;1355;
;DDS ITALIEN GREY 1.60/80;00001338;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;16/08/2026;16/08/2026;N;0;16/08/2026 18:16:42;ADMIN          ;1356;1356;
;BIDOUN LONDOI;00001339;;          ;0;0;0;0;0;0;;;;0.1;0.01;;0;;16/08/2026;16/08/2026;N;0;16/08/2026 19:05:33;ADMIN          ;1357;1357;
;LUSTER LED 109-16;00001340;;          ;4;4800;4800;6720;0;5760;;;;0.1;0.01;1;0;;10/08/2026;;N;0;17/08/2026 08:15:19;ADMIN          ;1358;1358;
;LUSTER LED 109-3;00001341;;          ;4;4800;4800;6720;0;5760;;;;0.1;0.01;1;0;;10/08/2026;;N;0;17/08/2026 08:16:41;ADMIN          ;1359;1359;
;LUSTR LED 109-10;00001342;;          ;4;6500;6500;9100;0;7800;;;;0.1;0.01;1;0;;10/08/2026;;N;0;17/08/2026 08:17:42;ADMIN          ;1360;1360;
;LUSTR LED 109-25;00001343;;          ;4;5800;5800;8120;0;6960;;;;0.1;0.01;1;0;;10/08/2026;;N;0;17/08/2026 08:18:50;ADMIN          ;1361;1361;
;LUSTR LED 109-19;00001344;;          ;4;4800;4800;6720;0;5760;;;;0.1;0.01;1;0;;10/08/2026;;N;0;17/08/2026 08:19:54;ADMIN          ;1362;1362;
;PLAFONI 109-83;00001345;;          ;2;25000;25000;35000;0;30000;;;;0.1;0.01;1;0;;10/08/2026;;N;0;17/08/2026 08:21:13;ADMIN          ;1363;1363;
;PLAFONI 109-85;00001346;;          ;2;25000;25000;35000;0;30000;;;;0.1;0.01;1;0;;10/08/2026;;N;0;17/08/2026 08:22:06;ADMIN          ;1364;1364;
;PLAFONI 109-90;00001347;;          ;2;26000;26000;36400;0;31200;;;;0.1;0.01;1;0;;10/08/2026;;N;0;17/08/2026 08:23:19;ADMIN          ;1365;1365;
;LUSTR LED 109-73;00001348;;          ;4;13500;13500;9450;0;8100;;;;0.1;0.01;1;0;;10/08/2026;;N;0;17/08/2026 08:25:00;ADMIN          ;1366;1366;
;LUSTR LED 109-65;00001349;;          ;4;13500;13500;18900;0;16200;;;;0.1;0.01;1;0;;10/08/2026;;N;0;17/08/2026 08:26:40;ADMIN          ;1367;1367;
;HUBLOT EWFNT;00001350;;          ;6;14800;14800;20720;0;17760;;;;0.1;0.01;1;0;;10/08/2026;;N;0;17/08/2026 08:28:09;ADMIN          ;1368;1368;
;APPLIQ FOTNIS;00001351;;          ;8;3200;3200;4480;0;3840;;;;0.1;0.01;1;0;;10/08/2026;;N;0;17/08/2026 08:29:59;ADMIN          ;1369;1369;
;APPLIQ 2025-310;00001352;;          ;1;4800;4800;6720;0;5760;;;;0.1;0.01;1;0;;10/08/2026;;N;0;17/08/2026 08:31:07;ADMIN          ;1370;1370;
;APPLIQ 2025-311;00001353;;          ;1;4800;4800;6720;0;5760;;;;0.1;0.01;1;0;;10/08/2026;;N;0;17/08/2026 08:31:58;ADMIN          ;1371;1371;
;APPLIQ YS001;00001354;;          ;4;3600;3600;5040;0;4320;;;;0.1;0.01;1;0;;10/08/2026;;N;0;17/08/2026 08:32:47;ADMIN          ;1372;1372;
;APPLIQ 2025-319;00001355;;          ;2;4600;4600;6440;0;5520;;;;0.1;0.01;1;0;;10/08/2026;;N;0;17/08/2026 08:33:44;ADMIN          ;1373;1373;
;APPLIQ 2025-326;00001356;;          ;2;5800;5800;8120;0;6960;;;;0.1;0.01;1;0;;10/08/2026;;N;0;17/08/2026 08:34:56;ADMIN          ;1374;1374;
;APPLIQ 2025-330;00001357;;          ;2;4800;4800;6720;0;5760;;;;0.1;0.01;1;0;;10/08/2026;;N;0;17/08/2026 08:35:48;ADMIN          ;1375;1375;
;APPLIQ PHOMSI;00001358;;          ;2;4800;4800;6720;0;5760;;;;0.1;0.01;1;0;;10/08/2026;;N;0;17/08/2026 08:37:07;ADMIN          ;1376;1376;
;CHOVI MITALIKE;00001359;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;17/08/2026;17/08/2026;N;0;17/08/2026 09:25:09;ADMIN          ;1377;1377;
;FAÏENCE JAPAN GRIS 2CH;00001360;;          ;0;0;0;0;0;0;;;;0.1;0.01;1;0;;17/08/2026;17/08/2026;N;0;17/08/2026 11:35:52;ADMIN          ;1378;1378;
;FAÏENCE 
ELVA CÉRAMIQUE 1.2*60;00001361;;          ;0;0;0;0;0;0;;;;0.1;0.01;;0;;17/08/2026;17/08/2026;N;0;17/08/2026 11:38:03;ADMIN          ;1379;1379;
;TRONSFO OBJECTIF;00001362;;          ;100;180;180;252;0;216;;;;0.1;0.01;1;0;;10/08/2026;;N;0;23/08/2026 12:29:53;ADMIN          ;1380;1380;
;DALLE GRANITE ROSA VELLE  EXP;00001363;;          ;30.11;5200;5200;7280;0;6240;;;;0.1;0.01;;0;;24/08/2026;;N;0;24/08/2026 16:26:26;ADMIN          ;1381;1381;
;TRANCHE GRANIT NOIR GALAXY 02 CM-07;00001364;;          ;34.83;9500;9500;13300;0;11400;;;;0.1;0.01;1;0;;24/08/2026;;N;0;24/08/2026 16:28:50;ADMIN          ;1382;1382;
;PANEUX EN BOIS;00001365;;          ;3;5000;5000;7000;0;6000;;;;0.1;0.01;1;0;;24/08/2026;;N;0;24/08/2026 16:30:46;ADMIN          ;1383;1383;
;TRANCHE GRANIT BLAK FOREST 02CM;00001366;;          ;17.58;8200;8200;11480;0;9840;;;;0.1;0.01;1;0;;24/08/2026;;N;0;24/08/2026 16:32:36;ADMIN          ;1384;1384;
;DALLE GRANITE LABRADOUR ROYAL 02 CM;00001367;;          ;19.45;12500;12500;17500;0;15000;;;;0.1;0.01;1;0;;24/08/2026;;N;0;24/08/2026 16:35:51;ADMIN          ;1385;1385;
;TRANCHE BEIGE SAHARI 02 CM A;00001368;;          ;42.2;2800;2800;3920;0;3360;;;;0.1;0.01;;0;;24/08/2026;;N;0;24/08/2026 16:37:04;ADMIN          ;1386;1386;
;DAL 60*60 SWEET TIMGAD CERAM 2CH RECTIFE -- GRIS;00001369;;          ;1555.2;600;600;840;0;720;;;;0.1;0.01;1;0;;24/08/2026;;N;0;24/08/2026 16:39:49;ADMIN          ;1387;1387;
